"default","$user.email","$user.password","$user.search"
"","user@email.com","password","search"
"","user2@email.com","password2","search2"
"def2","$user.email","$user.password","$user.search"
"","user@email.com","password","search"
"","user-two@protonmail.com","password2","search-two-ing"
"","user3@email.com","password3","search3"
"def3","$user.email","$user.password","$user.search"
"","user1@email.com","pass-word-one","search-one"
"","user-two@protonmail.com","password2","search-two"
"","user3@email.com","pass-phrase3","search3"
